name,       target_id,   ra,         dec,         pos_err,      lii,         bii,         bat_redshift,    redshift,    redshift_err,    redshift_type,   redshift_line,   redshift_from,   redshift_ref,       galaxy_redshift
,GRB 041217 ,   100116,10 59 09.60,-17 56 38.4,    84.0,268.66184, 37.34579,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041218 ,    20001,01 39 07.60,+71 20 30.0,     1.5,126.76689,  8.82587,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041219A,   100307,00 24 27.60,+62 50 32.9,        ,119.85910,  0.13179,            ,  0.3000,            ,P            ,             ,O            ,2011MNRAS.413.2173G,               ,
,GRB 041219B,   100367,11 10 41.76,-33 27 28.8,        ,279.89559, 24.86781,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041219C,   100380,22 55 31.68,-76 47 09.6,   108.0,311.06165,-38.45379,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041220 ,   100433,19 25 12.24,+60 35 45.6,    60.0, 91.93047, 19.45699,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041223 ,   100585,06 40 47.33,-37 04 23.1,     0.2,246.03465,-17.93062,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041224 ,   100703,03 44 46.08,-06 39 57.6,   120.0,194.57838,-44.10037,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041226 ,   100815,05 18 35.28,+73 20 34.8,   198.0,139.17606, 19.65168,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 041228 ,   100970,22 26 35.76,+05 01 37.2,    54.0, 69.99580,-42.48298,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 080507 ,    20068,15 34 43.39,+56 26 08.3,     0.7, 89.66137, 48.79138,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050117 ,   102861,23 53 52.50,+65 56 19.6,     5.1,117.10382,  3.72052,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050124 ,   103647,12 51 30.70,+13 02 42.0,        ,303.00574, 75.91674,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050126 ,   103780,18 32 27.17,+42 22 13.6,        , 70.77066, 21.20483,      1.2900,  1.2900,            ,S            ,E            ,O            ,2005GCN..3088....1B,               ,
,GRB 050128 ,   103906,14 38 17.66,-34 45 54.7,     1.7,326.61154, 23.14587,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050202 ,   104298,19 22 19.92,-38 43 58.8,   132.0,359.56501,-22.24750,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050209 ,    20003,08 26 09.00,+19 41 02.0,   420.0,204.53057, 29.34846,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050215A,   106106,23 13 38.64,+49 19 19.2,   156.0,107.00787,-10.50225,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050215B,   106107,11 37 47.90,+40 47 45.6,     0.9,166.20387, 69.58659,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 080723B,    20079,11 47 19.96,-60 14 27.5,     2.0,295.05247,  1.64641,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050219A,   106415,11 05 38.98,-40 41 03.1,     1.9,282.14651, 17.87912,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050504 ,    20006,13 24 01.24,+40 42 15.1,     3.8, 98.66137, 74.85171,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050219B,   106442,05 25 15.99,-57 45 28.7,        ,266.13626,-34.05714,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050223 ,   106709,18 05 32.49,-62 28 21.1,     1.5,331.52009,-18.81647,            ,  0.5840,      0.0050,S            ,E            ,O            ,2006A&A...459L...5P,0.584          ,
,GRB 050306 ,   107547,18 49 14.48,-09 09 10.0,     5.1, 24.52609, -3.67580,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050315 ,   111063,20 25 54.10,-42 36 02.2,     0.5,358.17734,-34.82614,      1.9490,  1.9500,      0.0008,S            ,A            ,O            ,2005ApJ...634..501B,               ,
,GRB 050318 ,   111529,03 18 51.00,-46 23 44.0,     0.5,256.45261,-55.21888,      1.4400,  1.4436,      0.0009,S            ,A            ,O            ,2005ApJ...634..501B,               ,
,GRB 050319 ,   111622,10 16 47.90,+43 32 54.5,     1.0,174.82558, 54.87131,      3.2400,  3.2425,            ,S            ,A            ,O            ,2009ApJS..185..526F,               ,
,GRB 070731 ,   286574,21 54 20.16,-15 44 34.8,   114.0, 39.11216,-47.47983,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050326 ,   112453,00 27 49.10,-71 22 16.3,     1.5,305.62566,-45.63332,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050401 ,   113120,16 31 28.81,+02 11 14.2,     1.0, 17.41371, 31.82813,      2.9000,  2.8983,      0.0004,S            ,A            ,O            ,2009ApJS..185..526F,               ,
,GRB 050406 ,   113872,02 17 52.30,-50 11 15.0,     0.5,273.16125,-61.64879,            ,  2.4400,      0.3500,P            ,             ,S            ,2006ApJ...643..276S,               ,
,GRB 050408 ,    20004,12 02 17.31,+10 51 09.4,     0.1,265.18825, 70.03507,            ,  1.2357,      0.0002,S            ,A            ,O            ,2005GCN..3201....1B,               ,
,GRB 050820A,   151207,22 29 38.11,+19 33 37.1,     0.5, 82.78649,-32.03889,      2.6147,  2.6147,      0.0020,S            ,A            ,O            ,2009ApJS..185..526F,               ,
,GRB 050410 ,   114299,05 59 14.11,+79 36 12.4,     1.7,134.05730, 24.34502,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 050412 ,   114485,12 04 25.28,-01 12 00.6,     3.7,279.27714, 59.49488,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 071018 ,   294645,10 59 19.92,+53 48 14.4,   186.0,152.93721, 56.29718,            ,        ,            ,             ,             ,             ,                   ,               ,
